market,date,strategy,strategy_label,solver,is_theoretical_optimum,gross_revenue,charging_cost,gross_profit,degradation_cost,net_profit,charge_energy_mwh,discharge_energy_mwh,cell_throughput_q_mwh,efc,efc_rated,efc_usable,min_soc,max_soc,final_soc,cumulative_pnl,rolling_avg_pnl_30d,profit_per_mwh,profit_per_cycle
shandong,2026-08-01,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,49762.18,9999.62,39762.56,4800.0,34962.56,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,34962.56,34962.56,474.0,87406.4
shandong,2026-08-01,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,186036.77,62571.36,123465.42,19200.0,104265.42,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,104265.42,104265.42,353.39,65165.89
shandong,2026-08-02,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,49762.18,-3018.64,52780.82,4800.0,47980.82,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,82943.38,41471.69,650.5,119952.05
shandong,2026-08-02,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,186036.77,37888.97,148147.8,19200.0,128947.8,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,233213.22,116606.61,437.05,80592.38
shandong,2026-08-03,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,53450.18,-1717.13,55167.3,4800.0,50367.3,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,133310.68,44436.89,682.85,125918.25
shandong,2026-08-03,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,193412.77,41186.15,152226.62,19200.0,133026.62,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,366239.84,122079.95,450.88,83141.64
shandong,2026-08-04,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,53450.18,9999.62,43450.56,4800.0,38650.56,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,171961.24,42990.31,524.0,96626.4
shandong,2026-08-04,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,193412.77,64653.79,128758.99,19200.0,109558.99,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,475798.83,118949.71,371.34,68474.37
shandong,2026-08-05,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,53450.18,-1717.13,55167.3,4800.0,50367.3,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,222328.54,44465.71,682.85,125918.25
shandong,2026-08-05,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,193412.77,39797.86,153614.91,19200.0,134414.91,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,610213.74,122042.75,455.58,84009.32
shandong,2026-08-06,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,53450.18,-3018.64,56468.82,4800.0,51668.82,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,273997.36,45666.23,700.5,129172.05
shandong,2026-08-06,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,193412.77,37888.97,155523.8,19200.0,136323.8,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,746537.54,124422.92,462.05,85202.37
